COMMUNE;nomcom;CODE_REG;dist;long;lat;superficie;LIBEPCI;libuu2020;DEP;REG;emp;actifs;PTOT
72145;Le Grez;52;148,974577;-0,15566565;48,18921465;7,070200014;CC de la Champagne Conlinoise et du Pays de Sillé;Sillé-le-Guillaume;Sarthe;Pays de la Loire;57,39852372;170,9616481;402
72146;Guécélard;52;146,129335;0,142030446;47,88426979;12,19533502;CC du Val de Sarthe;Le Mans;Sarthe;Pays de la Loire;327,1127313;1298,746774;3146
72147;La Guierche;52;163,9465931;0,201087524;48,11850942;7,662976759;CC Maine Coeur de Sarthe;Joué-l'Abbé;Sarthe;Pays de la Loire;89,61627421;607,3260293;1149
72148;Jauzé;52;180,889348;0,382481416;48,21117879;5,656578617;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;9,880952381;29,64285714;83
72149;Joué-en-Charnie;52;133,7431159;-0,194716704;48,015494;23,75994655;CC Loué - Brûlon - Noyen;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;200,2384543;279,4532193;639
72150;Joué-l'Abbé;52;164,9623012;0,229853633;48,10757092;10,37160368;CC Maine Coeur de Sarthe;Joué-l'Abbé;Sarthe;Pays de la Loire;183,289465;582,4381984;1284
72151;Juigné-sur-Sarthe;52;117,9172053;-0,291740754;47,86827513;20,96308602;CC de Sablé-sur-Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;143,6757591;534,6861185;1167
72152;Juillé;52;168,4453598;0,125803107;48,24526317;5,600785584;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;36,59318706;181,8881119;455
72153;Jupilles;52;159,7448415;0,410315395;47,79188939;26,70087335;CC Loir-Lucé-Bercé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;106,1758536;257,7617329;566
72154;La Flèche;52;122,5977401;-0,064764042;47,68947121;79,70993732;CC du Pays Fléchois;La Flèche;Sarthe;Pays de la Loire;7173,576115;5280,679758;15929
72155;Laigné-en-Belin;52;151,3168816;0,233744585;47,86824052;13,45815698;CC Orée de Bercé - Belinois;Le Mans;Sarthe;Pays de la Loire;460,5072203;1018,738202;2353
72156;Lamnay;52;194,9989783;0,7095391;48,10563659;22,4083202;CC du Pays de l'Huisne Sarthoise;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;132,4654496;425,8583691;955
72157;Lavardin;52;153,4225266;0,062852176;48,08381002;7,664666903;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;30,30704973;334,7083926;727
72158;Lavaré;52;189,0572462;0,657147213;48,05826443;22,84646595;CC des Vallées de la Braye et de l'Anille;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;94,86268093;386,4608802;843
72160;Lavernat;52;152,3372032;0,346298626;47,7185955;23,16047013;CC Loir-Lucé-Bercé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;70,12605204;228,7742951;593
72161;Lhomme;52;169,2105475;0,563669922;47,76054896;18,29102795;CC Loir-Lucé-Bercé;La Chartre-sur-le-Loir;Sarthe;Pays de la Loire;106,8755263;304,422785;917
72163;Ligron;52;129,8897702;-0,013401588;47,76951032;13,77492882;CC du Pays Fléchois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;95,99714534;242,9327902;500
72164;Livet-en-Saosnois;52;181,3954789;0,211071757;48,35613127;1,433694712;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;;20;70
72165;Lombron;52;174,9122788;0,412614533;48,08616514;24,35990191;CC Le Gesnois Bilurien;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;166,2785631;770;1935
72166;Longnes;52;140,4902138;-0,084693702;48,02119234;6,313420994;CC Loué - Brûlon - Noyen;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;20,05646194;143,1349361;327
72167;Louailles;52;115,8762622;-0,239390734;47,78323864;10,67068854;CC de Sablé-sur-Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;216,0214578;365;729
72168;Loué;52;135,7400856;-0,138237979;47,99763091;15,99421066;CC Loué - Brûlon - Noyen;Loué;Sarthe;Pays de la Loire;1073,874939;705;2109
72169;Louplande;52;143,4144883;0,048551643;47,94125056;18,10498609;CC du Val de Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;210,5712796;740;1485
72170;Louvigny;52;179,3294286;0,200765699;48,33616782;8,946618171;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;19,94318182;99,43181818;179
72171;Louzes;52;191,2812219;0,293462599;48,42776532;8,442210961;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;15,26281553;25,24752475;103
72172;Le Luart;52;186,3122731;0,596928327;48,08001862;12,67794271;CC du Pays de l'Huisne Sarthoise;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;337,6517042;661,4643089;1454
72173;Luceau;52;155,480546;0,39145604;47,71770324;17,47629165;CC Loir-Lucé-Bercé;Montval-sur-Loir;Sarthe;Pays de la Loire;639,6288556;512,9132901;1257
72174;Lucé-sous-Ballon;52;170,9122592;0,212574816;48,21114547;6,793821705;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;9,80952381;63,76190476;103
